Date,Price
5/19/2021,42891.25
5/18/2021,43637.68
5/17/2021,46463.33
5/16/2021,46791.8
5/15/2021,49881.27
5/14/2021,49650.51
5/13/2021,49551.16
5/12/2021,56758.33
5/11/2021,55916.4
5/10/2021,58352.02
5/9/2021,58941.82
5/8/2021,57388.4
5/7/2021,56356.35
5/6/2021,57494.37
5/5/2021,53201.77
5/4/2021,57205.47
5/3/2021,56620.3
5/2/2021,57808.31
5/1/2021,57732.28
4/30/2021,53553.03
4/29/2021,54868.1
4/28/2021,55069.89
4/27/2021,54024.45
4/26/2021,49098
4/25/2021,50115.61
4/24/2021,51146.21
4/23/2021,51697.92
4/22/2021,53889.21
4/21/2021,56573.63
4/20/2021,55663.25
4/19/2021,56763.56
4/18/2021,60100.5
4/17/2021,61512.26
4/16/2021,63226.94
4/15/2021,62951.13
4/14/2021,63593.59
4/13/2021,59877.46
4/12/2021,60009.33
4/11/2021,59788.16
4/10/2021,58090
4/9/2021,58046.11
4/8/2021,55950.31
4/7/2021,58014.75
4/6/2021,59069.41
4/5/2021,58253.06
4/4/2021,57096.92
4/3/2021,58963.98
4/2/2021,58781.68
4/1/2021,58702.19
3/31/2021,58775.07
3/30/2021,57670.91
3/29/2021,55794.32
3/28/2021,55851.59
3/27/2021,55046.56
3/26/2021,51315.98
3/25/2021,52404.43
3/24/2021,54400
3/23/2021,54427
3/22/2021,57374.54
3/21/2021,58082.21
3/20/2021,58083
3/19/2021,57672.65
3/18/2021,58849.97
3/17/2021,56799.97
3/16/2021,55700
3/15/2021,59161.03
3/14/2021,61040.64
3/13/2021,57209.67
3/12/2021,57909.61
3/11/2021,55926.59
3/10/2021,54871.77
3/9/2021,52199.96
3/8/2021,51015.53
3/7/2021,48882.47
3/6/2021,48844.23
3/5/2021,48358.79
3/4/2021,50500
3/3/2021,48500.95
3/2/2021,49629.73
3/1/2021,45244.22
2/28/2021,46204.97
2/27/2021,46273.04
2/26/2021,47058.95
2/25/2021,49716.36
2/24/2021,48851.18
2/23/2021,54231.87
2/22/2021,57637
2/21/2021,56317.55
2/20/2021,55937.05
2/19/2021,51615.01
2/18/2021,52158
2/17/2021,49188.74
2/16/2021,47916.59
2/15/2021,48691.92
2/14/2021,47098.81
2/13/2021,47427.52
2/12/2021,48034.95
2/11/2021,44934.43
2/10/2021,46510.48
2/9/2021,46200
2/8/2021,38832.74
2/7/2021,39291.14
2/6/2021,38245
2/5/2021,37002.46
2/4/2021,37650
2/3/2021,35505.19
2/2/2021,33574.03
2/1/2021,33076.89
1/31/2021,34217.54
1/30/2021,34316.55
1/29/2021,33375.46
1/28/2021,30504.27
1/27/2021,32510.7
1/26/2021,32250
1/25/2021,32230.2
1/24/2021,32002.13
1/23/2021,32955.5
1/22/2021,30824.61
1/21/2021,35490.99
1/20/2021,36011
1/19/2021,36667.62
1/18/2021,35814
1/17/2021,36029.04
1/16/2021,36894.3
1/15/2021,39139.87
1/14/2021,37373.99
1/13/2021,33932.06
1/12/2021,35315.84
1/11/2021,38197.86
1/10/2021,40110
1/9/2021,40619.04
1/8/2021,39499.99
1/7/2021,36903.15
1/6/2021,33886.24
1/5/2021,31988.99
1/4/2021,33082.38
1/3/2021,32277.55
1/2/2021,29371.76
1/1/2021,29000
12/31/2020,28873.84
12/30/2020,27376.95
12/29/2020,27027.57
12/28/2020,26236.48
12/27/2020,26474.7
12/26/2020,24707.84
12/25/2020,23749.47
12/24/2020,23209.25
12/23/2020,23808.31
12/22/2020,22775.6
12/21/2020,23484.17
12/20/2020,23847.7
12/19/2020,23146.71
12/18/2020,22850.73
12/17/2020,21350.65
12/16/2020,19431.89
12/15/2020,19256.31
12/14/2020,19149.3
12/13/2020,18815.8
12/12/2020,18033.07
12/11/2020,18246.68
12/10/2020,18550.01
12/9/2020,18321.31
12/8/2020,19201.18
12/7/2020,19387.1
12/6/2020,19148.48
12/5/2020,18657.55
12/4/2020,19440.26
12/3/2020,19220.03
12/2/2020,18818.4
12/1/2020,19661.92
11/30/2020,18197.05
11/29/2020,17740.13
11/28/2020,17130
11/27/2020,17161.61
11/26/2020,18732.2
11/25/2020,19155.27
11/24/2020,18390.62
11/23/2020,18467.82
11/22/2020,18688.8
11/21/2020,18671.32
11/20/2020,17824.18
11/19/2020,17816.41
11/18/2020,17637.8
11/17/2020,16720.83
11/16/2020,15966.86
11/15/2020,16100
11/14/2020,16333.87
11/13/2020,16300
11/12/2020,15713.19
11/11/2020,15314.71
11/10/2020,15336.53
11/9/2020,15484.24
11/8/2020,14844.12
11/7/2020,15600.64
11/6/2020,15596.88
11/5/2020,14160.81
11/4/2020,14024.09
11/3/2020,13575.49
11/2/2020,13757.46
11/1/2020,13806.6
10/31/2020,13566.34
10/30/2020,13467.7
10/29/2020,13287.24
10/28/2020,13653.06
10/27/2020,13083.89
10/26/2020,13040.5
10/25/2020,13129.91
10/24/2020,12937.67
10/23/2020,12977.89
10/22/2020,12824.79
10/21/2020,11926.82
10/20/2020,11759.14
10/19/2020,11507.92
10/18/2020,11365.44
10/17/2020,11326.77
10/16/2020,11502.2
10/15/2020,11434.32
10/14/2020,11435.36
10/13/2020,11539.5
10/12/2020,11378.81
10/11/2020,11300.01
10/10/2020,11064.04
10/9/2020,10928.15
10/8/2020,10668.51
10/7/2020,10606.65
10/6/2020,10787.63
10/5/2020,10677.29
10/4/2020,10549.08
10/3/2020,10573.7
10/2/2020,10617.68
10/1/2020,10770
9/30/2020,10836.95
9/29/2020,10698.5
9/28/2020,10769.81
9/27/2020,10743.7
9/26/2020,10690.73
9/25/2020,10740.85
9/24/2020,10231.01
9/23/2020,10532.01
9/22/2020,10415.9
9/21/2020,10915.56
9/20/2020,11076.58
9/19/2020,10933.45
9/18/2020,10915
9/17/2020,10952.94
9/16/2020,10782.52
9/15/2020,10670.58
9/14/2020,10327
9/13/2020,10444.54
9/12/2020,10385.12
9/11/2020,10348.17
9/10/2020,10228.91
9/9/2020,10120.05
9/8/2020,10371.88
9/7/2020,10258.22
9/6/2020,10162.69
9/5/2020,10466.77
9/4/2020,10228.04
9/3/2020,11400.75
9/2/2020,11911.58
9/1/2020,11655.28
8/31/2020,11700.21
8/30/2020,11476.46
8/29/2020,11524.66
8/28/2020,11315.21
8/27/2020,11476.76
8/26/2020,11337.69
8/25/2020,11761.32
8/24/2020,11648.49
8/23/2020,11674.54
8/22/2020,11541.04
8/21/2020,11862.01
8/20/2020,11762.49
8/19/2020,11969
8/18/2020,12270.96
8/17/2020,11911.58
8/16/2020,11865.1
8/15/2020,11765.68
8/14/2020,11772.61
8/13/2020,11574.28
8/12/2020,11390.2
8/11/2020,11896.23
8/10/2020,11689.41
8/9/2020,11767.04
8/8/2020,11598.16
8/7/2020,11758
8/6/2020,11733.42
8/5/2020,11196.11
8/4/2020,11225.16
8/3/2020,11063.65
8/2/2020,11816.25
8/1/2020,11354.88
7/31/2020,11099.85
7/30/2020,11112.18
7/29/2020,10934.35
7/28/2020,11031.85
7/27/2020,9929.67
7/26/2020,9679.71
7/25/2020,9547.99
7/24/2020,9603.62
7/23/2020,9534.67
7/22/2020,9389.33
7/21/2020,9194.56
7/20/2020,9239.04
7/19/2020,9199.34
7/18/2020,9190.62
7/17/2020,9159.48
7/16/2020,9199
7/15/2020,9254.81
7/14/2020,9236.49
7/13/2020,9298.92
7/12/2020,9233.07
7/11/2020,9287.31
7/10/2020,9237.69
7/9/2020,9422.56
7/8/2020,9244.21
7/7/2020,9334.21
7/6/2020,9177.38
7/5/2020,9213.26
7/4/2020,9182.06
7/3/2020,9197.88
7/2/2020,9290.77
7/1/2020,9217.89
6/30/2020,9286.39
6/29/2020,9332.61
6/28/2020,9187.84
6/27/2020,9282.2
6/26/2020,9363.19
6/25/2020,9364.96
6/24/2020,9617.25
6/23/2020,9682.85
6/22/2020,9386.01
6/21/2020,9449.48
6/20/2020,9376.77
6/19/2020,9402.64
6/18/2020,9485.45
6/17/2020,9586.03
6/16/2020,9522.57
6/15/2020,9417.76
6/14/2020,9515.05
6/13/2020,9495.09
6/12/2020,9325.2
6/11/2020,9855.84
6/10/2020,9760.78
6/9/2020,9727.99
6/8/2020,9711.51
6/7/2020,9659.62
6/6/2020,9631.92
6/5/2020,9765.9
6/4/2020,9667.15
6/3/2020,9511.5
6/2/2020,9511.5
6/1/2020,9428.04
5/31/2020,9632.74
5/30/2020,9423.7
5/29/2020,9513.46
5/28/2020,9225
5/27/2020,8951.47
5/26/2020,9003.79
5/25/2020,8800
5/24/2020,9226.04
5/23/2020,9186.97
5/22/2020,9066.85
5/21/2020,9523.34
5/20/2020,9789.4
5/19/2020,9704.64
5/18/2020,9618.78
5/17/2020,9389.26
5/16/2020,9295.19
5/15/2020,9781.84
5/14/2020,9301
5/13/2020,8885.98
5/12/2020,8686.36
5/11/2020,8791.13
5/10/2020,9552.35
5/9/2020,9798.3
5/8/2020,9896.73
5/7/2020,9154.95
5/6/2020,9028.85
5/5/2020,8917.3
5/4/2020,8915.72
5/3/2020,8981.62
5/2/2020,8831.66
5/1/2020,8643.84
4/30/2020,8773.05
4/29/2020,7790.96
4/28/2020,7790.15
4/27/2020,7700
4/26/2020,7543.85
4/25/2020,7500
4/24/2020,7490
4/23/2020,7241.46
4/22/2020,7014.25
4/21/2020,6995.5
4/20/2020,7230.96
4/19/2020,7325.78
4/18/2020,7150
4/17/2020,7265
4/16/2020,6931.64
4/15/2020,7165.04
4/14/2020,7149
4/13/2020,7164.58
4/12/2020,7081.07
4/11/2020,7030.63
4/10/2020,7417.69
4/9/2020,7465.92
4/8/2020,7334.84
4/7/2020,7397.43
4/6/2020,6924.96
4/5/2020,6990
4/4/2020,6891
4/3/2020,6978.86
4/2/2020,6886.59
4/1/2020,6708.6
3/31/2020,6713.65
3/30/2020,6233.58
3/29/2020,6569.43
3/28/2020,6647
3/27/2020,7015.16
3/26/2020,6975.68
3/25/2020,7033.19
3/24/2020,6814.41
3/23/2020,6206.89
3/22/2020,6426.34
3/21/2020,6501.86
3/20/2020,6496.8
3/19/2020,5835.7
3/18/2020,5736.72
3/17/2020,5538.69
3/16/2020,5873.17
3/15/2020,5812.79
3/14/2020,6137.35
3/13/2020,5428.71
3/12/2020,8335.7
3/11/2020,8302.73
3/10/2020,8314.67
3/9/2020,8519
3/8/2020,9199.68
3/7/2020,9416.6
3/6/2020,9367.61
3/5/2020,9063.63
3/4/2020,9013.37
3/3/2020,9190.42
3/2/2020,8882.37
3/1/2020,8872
2/29/2020,9024.47
2/28/2020,9167.94
2/27/2020,9106.2
2/26/2020,9604.31
2/25/2020,9800.75
2/24/2020,10085.28
2/23/2020,9934.91
2/22/2020,9975.91
2/21/2020,9796.92
2/20/2020,9755.76
2/19/2020,10186.9
2/18/2020,9707.32
2/17/2020,9942.89
2/16/2020,9921.62
2/15/2020,10335.32
2/14/2020,10222.98
2/13/2020,10345.66
2/12/2020,10244.5
2/11/2020,9834.35
2/10/2020,10122.92
2/9/2020,9895.82
2/8/2020,9801.22
2/7/2020,9758.25
2/6/2020,9589.3
2/5/2020,9253.67
2/4/2020,9322.34
2/3/2020,9369.61
2/2/2020,9383.83
2/1/2020,9372.36
1/31/2020,9512.23
1/30/2020,9335.16
1/29/2020,9487.63
1/28/2020,9084.59
1/27/2020,8857.4
1/26/2020,8639.66
1/25/2020,8725.5
1/24/2020,8642.5
1/23/2020,8895.07
1/22/2020,8976.56
1/21/2020,8872.06
1/20/2020,8965.3
1/19/2020,9141.94
1/18/2020,9101.62
1/17/2020,8930.78
1/16/2020,9002.28
1/15/2020,9057.58
1/14/2020,8430
1/13/2020,8489.77
1/12/2020,8360.61
1/11/2020,8498.71
1/10/2020,8146.69
1/9/2020,8250.25
1/8/2020,8363.62
1/7/2020,7995.07
1/6/2020,7629.4
1/5/2020,7634.86
1/4/2020,7624.79
1/3/2020,7335.05
1/2/2020,7538.05
1/1/2020,7493.73
12/31/2019,7537.49
12/30/2019,7680.49
12/29/2019,7645.68
12/28/2019,7595
12/27/2019,7596.96
12/26/2019,7578.7
12/25/2019,7594.43
12/24/2019,7638
12/23/2019,7843.8
12/22/2019,7494.5
12/21/2019,7525.93
12/20/2019,7526.66
12/19/2019,7708
12/18/2019,7028.96
12/17/2019,7305.62
12/16/2019,7463.68
12/15/2019,7439.07
12/14/2019,7573.24
12/13/2019,7521.83
12/12/2019,7518.57
12/11/2019,7524.29
12/10/2019,7633.94
12/9/2019,7782.49
12/8/2019,7786.41
12/7/2019,7810.25
12/6/2019,7652.99
12/5/2019,7505.85
12/4/2019,7614.53
12/3/2019,7642.92
12/2/2019,7734.33
12/1/2019,7857.98
11/30/2019,8007.56
11/29/2019,7742.98
11/28/2019,7820.31
11/27/2019,7480
11/26/2019,7505.4
11/25/2019,7377.69
11/24/2019,7801.78
11/23/2019,7710.38
11/22/2019,7975.45
11/21/2019,8356.28
11/20/2019,8461.79
11/19/2019,8521
11/18/2019,8792
11/17/2019,8774.37
11/16/2019,8747.81
11/15/2019,8903.94
11/14/2019,9025.99
11/13/2019,9049
11/12/2019,8961.37
11/11/2019,9234.61
11/10/2019,9035.16
11/9/2019,9008.33
11/8/2019,9343
11/7/2019,9393.69
11/6/2019,9360.37
11/5/2019,9461.18
11/4/2019,9303.77
11/3/2019,9384.05
11/2/2019,9333.89
11/1/2019,9240.74
10/31/2019,9243.48
10/30/2019,9416.38
10/29/2019,9254.73
10/28/2019,9560.93
10/27/2019,9283.85
10/26/2019,8871.09
10/25/2019,7789.01
10/24/2019,7841.04
10/23/2019,8268.25
10/22/2019,8450.06
10/21/2019,8460.12
10/20/2019,8228.87
10/19/2019,8227.1
10/18/2019,8326.69
10/17/2019,8246.69
10/16/2019,8380.77
10/15/2019,8564.69
10/14/2019,8552.77
10/13/2019,8535.13
10/12/2019,8451.11
10/11/2019,8676.26
10/10/2019,8626.65
10/9/2019,8312.79
10/8/2019,8432.7
10/7/2019,8155.73
10/6/2019,8382.1
10/5/2019,8413.91
10/4/2019,8493.48
10/3/2019,8632.85
10/2/2019,8581.54
10/1/2019,8544.62
9/30/2019,8328.39
9/29/2019,8495.44
9/28/2019,8433.72
9/27/2019,8287.78
9/26/2019,8671.22
9/25/2019,8886.07
9/24/2019,9937.4
9/23/2019,10228.06
9/22/2019,10172.63
9/21/2019,10334.01
9/20/2019,10400.14
9/19/2019,10302.86
9/18/2019,10342.82
9/17/2019,10374.25
9/16/2019,10412.85
9/15/2019,10475.09
9/14/2019,10467
